name,list_id,country,entity_type,address,remarks
"DWEIK, Aziz",9668,,INDIVIDUAL,,"DOB 1948; POB Al-Khalil, Hebron; HAMAS - Hebron."
EXIMBANK OF RUSSIA JSC,18268,,COMPANY,,"SWIFT/BIC EXIRRUMM; Website eximbank.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 24 May 1994; Target Type Financial Institution; Tax ID No. 7704001959 (Russia); Legal Entity Number 253400HA6URWT39X2982; Registration Number 1027739109133 (Russia); All offices worldwide; for more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK."
"EYANSKI ELEVATOR, OAO",20667,,COMPANY,,"Email Address eya_silo@mail.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022304420478; Tax ID No. 2344003814; Government Gazette Number 00940588; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: JOINT STOCK COMPANY RUSSIAN AGRICULTURAL BANK."
"FARHAT, Mariam Mohammed",9660,,INDIVIDUAL,,DOB 1949.
FEDERAL CENTER FOR PROJECT FINANCE,18275,,COMPANY,,"Website fcpf.ru; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Public Registration Number 1027739088410; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; a.k.a. 'FCPF'; Linked To: STATE CORPORATION BANK FOR DEVELOPMENT AND FOREIGN ECONOMIC AFFAIRS VNESHECONOMBANK."
FINANSOVY ASSISTENT CJSC,19999,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: BM BANK JSC."
"FUJIAN TORCH ELECTRON TECHNOLOGY CO., LTD.",32077,,COMPANY,,"Equity Ticker 603678  CN; Issuer Name Fujian Torch Electron Technology Co., Ltd; ISIN CNE100001TY3; Target Type Public Company; Effective Date (CMIC) 02 Aug 2021; Purchase/Sales For Divestment Date (CMIC) 03 Jun 2022; Listing Date (CMIC) 03 Jun 2021; Unified Social Credit Code (USCC) 913500001562023628 (China)."
"FUQAHA, Abdul Jaber Mustafa",9667,,INDIVIDUAL,,DOB 1966.
"GAZ-OIL, OOO",19639,,COMPANY,,"Website gasoil.ru; Email Address i.blagodarov@gasoil.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1113926004422; Tax ID No. 3906229324; Government Gazette Number 22876655; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
GAZKARDSERVIS OOO,20295,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027739027634; Tax ID No. 7724199506; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: GAZPROMBANK JOINT STOCK COMPANY."
"GAZMASH, AO",19673,,COMPANY,,"Website www.gasmash.ru; Email Address asg@gasmash.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700008390; Tax ID No. 7709014944; Government Gazette Number 13265740; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA IRKUTSK, OOO",19672,,COMPANY,,"Website Irkutsk-dobycha.gazprom.ru; Email Address mail@irkgazprom.irk.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1073812008731; Tax ID No. 3812100646; Government Gazette Number 53371127; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA KRASNODAR, OOO",19642,,COMPANY,,"Website www.gazkuban.ru; Email Address adm@kuban.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022301190471; Tax ID No. 2308065678; Government Gazette Number 00153784; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA KUZNETSK, OOO",19631,,COMPANY,,"Website kuznetsk-dobycha.gazprom.ru; Email Address GPKKUZNETSK@MAIL.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1024201465551; Tax ID No. 4216000032; Government Gazette Number 26624330; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA NADYM, OOO",19544,,COMPANY,,"Website nadymdobycha.gazprom.ru; Email Address MANAGER@ONGP.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028900578080; Tax ID No. 8903019871; Government Gazette Number 00153761; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA NOYABRSK, OOO",19636,,COMPANY,,"Website noyabrsk-dobycha.gazprom.ru; Email Address NGD@NGD.GASPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028900706647; Tax ID No. 8905026850; Government Gazette Number 05751797; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA URENGOI, OOO",19677,,COMPANY,,"Website urengoy-dobycha.gazprom.ru; Email Address s.v.mazanov@gd-urengoy.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028900628932; Tax ID No. 8904034784; Government Gazette Number 05751745; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM DOBYCHA YAMBURG, OOO",19468,,COMPANY,,"Website yamburg-dobycha.gazprom.ru; Email Address PRIYEMNAYA@YGDU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028900624576; Tax ID No. 8904034777; Government Gazette Number 04803457; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM ENERGO, OOO",19543,,COMPANY,,"Website gazpromenergo.gazprom.ru; Email Address info@adm.energo.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027739841370; Tax ID No. 7736186950; Government Gazette Number 18584757; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM FLOT, OOO",19638,,COMPANY,,"Website flot.gazprom.ru; Email Address denisenko@gazflot.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700198635; Tax ID No. 7740000037; Government Gazette Number 40025139; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM GAZNADZOR, OOO",19650,,COMPANY,,"Website gaznadzor.gazprom.ru; Email Address artemyeva@gaznadzor.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700528019; Tax ID No. 7740000051; Government Gazette Number 05030626; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM GAZOBEZOPASNOST, OOO",19637,,COMPANY,,"Website gazbez.ru; Email Address g.rybanova@gazbez.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1025000658187; Tax ID No. 5003028148; Government Gazette Number 23484472; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM GEOLOGORAZVEDKA, OOO",19678,,COMPANY,,"Website geologorazvedka.gazprom.ru; Email Address a.davydov@ggr.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1042401809560; Tax ID No. 2460066149; Government Gazette Number 75782730; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM INFORM, OOO",19670,,COMPANY,,"Website inform.gazprom.ru; Email Address d.g.kozlov@inform.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1097746469303; Tax ID No. 7727696104; Government Gazette Number 49880231; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM INVEST, OOO",19640,,COMPANY,,"Website zapad-invest.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Target Type State-Owned Enterprise; Registration ID 1077847507759 (Russia); Tax ID No. 7810483334 (Russia); Government Gazette Number 82129203 (Russia); For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM KAPITAL, OOO",19675,,COMPANY,,"Website gazpromcapital.ru; Email Address info.gazprom_capital@adm.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1087746212388; Tax ID No. 7726588547; Government Gazette Number 84813628; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM KOMPLEKTATSIYA, OOO",19652,,COMPANY,,"Website komplektatsiya.gazprom.ru; Email Address gki@gki.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700501113; Tax ID No. 7740000044; Government Gazette Number 05030632; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
GAZPROM MEDIA HOLDING,20296,,COMPANY,,"Website www.gazprom-media.com; Executive Order 13662 Directive Determination - Subject to Directive 1; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 5087746018960; Tax ID No. 7728668727; For more information on directives, please visit the following link: https://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: GAZPROMBANK JOINT STOCK COMPANY."
"GAZPROM MEZHREGIONGAZ, OOO",19546,,COMPANY,,"Website mrg.gazprom.ru; Email Address k.seleznev@mrg.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1025000653930; Tax ID No. 5003021311; Government Gazette Number 45138919; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM PERERABOTKA, OOO",19645,,COMPANY,,"Website pererabotka.gazprom.ru; Email Address GPP@GPP.GAZPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1071102001651; Tax ID No. 1102054991; Government Gazette Number 97152834; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM PERSONAL, OOO",19644,,COMPANY,,"Email Address a.malushitsky@podzemgazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 5117746041860; Tax ID No. 7728794168; Government Gazette Number 38223286; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM PROMGAZ, AO",19686,,COMPANY,,"Website oao-promgaz.ru; Email Address A.Solomko@promgaz.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027700174061; Tax ID No. 7734034550; Government Gazette Number 00158847; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM RUSSKAYA, OOO",19542,,COMPANY,,"Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1023801016887; Tax ID No. 3808069915; Government Gazette Number 55567892; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM SOTSINVEST, OOO",19635,,COMPANY,,"Website sotsinvest.gazprom.ru; Email Address Y.Gagarinskiy@gpia.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1037700253470; Tax ID No. 7736077414; Government Gazette Number 11453584; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives.; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM SVYAZ, OOO",19545,,COMPANY,,"Website gazsvyaz.ru; Email Address a.nosonov@gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027739411457; Tax ID No. 7740000020; Government Gazette Number 04695507; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TELEKOM, OOO",19654,,COMPANY,,"Website www.gaztelecom.ru; Email Address b.motenko@gazpromtelecom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1137746329962; Tax ID No. 7728840569; Government Gazette Number 42934136; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ KAZAN, OOO",19633,,COMPANY,,"Website kazan-tr.gazprom.ru; Email Address Vlads@TTG.bancorp.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1021603624921; Tax ID No. 1600000036; Government Gazette Number 00154364; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ KRASNODAR, OOO",19643,,COMPANY,,"Website Krasnodar-tr.gazprom.ru; Email Address d.matutin@tgk.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1072308003063; Tax ID No. 2308128945; Government Gazette Number 80169546; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ MAKHACHKALA, OOO",19681,,COMPANY,,"Website Makhachkala-tr.gazprom.ru; Email Address emirbekov@dgp.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1020502628486; Tax ID No. 0500000136; Government Gazette Number 12824367; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ NIZHNI NOVGOROD, OOO",19649,,COMPANY,,"Website n-novgorod-tr.gazprom.ru; Email Address ceo@vtg.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1025203016332; Tax ID No. 5260080007; Government Gazette Number 04864329; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ SAMARA, OOO",19674,,COMPANY,,"Website samara-tr.gazprom.ru; Email Address oppt@samaratransgaz.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1026300956505; Tax ID No. 6315000291; Government Gazette Number 00154306; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ SANKT-PETERBURG, OOO",19471,,COMPANY,,"Website www.spb-tr.gazprom.ru; Email Address gfokin@spb.ltg.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027804862755; Tax ID No. 7805018099; Government Gazette Number 00154312; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ SARATOV, OOO",19634,,COMPANY,,"Website Saratov-tr.gazprom.ru; Email Address SECR@UTG.GAZPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1026403049815; Tax ID No. 6453010110; Government Gazette Number 04863554; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ STAVROPOL, OOO",19472,,COMPANY,,"Website Stavropol-tr.gazprom.ru; Email Address ooo@ktg.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1022601940613; Tax ID No. 2636032629; Government Gazette Number 04864447; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ SURGUT, OOO",19648,,COMPANY,,"Website Surgut-tr.gazprom.ru; Email Address TELEGRAF@SURGUT.GAZPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028601679314; Tax ID No. 8617002073; Government Gazette Number 05015124; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ TOMSK, OOO",19647,,COMPANY,,"Website tomsk-tr.gazprom.ru; Email Address A.rays@tlru.gtt.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1027000862954; Tax ID No. 7017005289; Government Gazette Number 04634954; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ UFA, OOO",19683,,COMPANY,,"Website ufa-tr.gazprom.ru; Email Address info@bashtg.gazp; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1020202861821; Tax ID No. 0276053659; Government Gazette Number 00154358; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ UKHTA, OOO",19632,,COMPANY,,"Website ukhta-tr.gazprom.ru; Email Address azaharov@sgp.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1021100731190; Tax ID No. 1102024468; Government Gazette Number 00159025; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ VOLGOGRAD, OOO",19646,,COMPANY,,"Website Volgograd-tr.gazprom.ru; Email Address VTG@GASPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1023403849182; Tax ID No. 3445042160; Government Gazette Number 00154281; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TRANSGAZ YUGORSK, OOO",19469,,COMPANY,,"Website www.gazprom-transgaz-yugorsk.ru; Email Address KANS1@TTG.GAZPROM.RU; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1028601843918; Tax ID No. 8622000931; Government Gazette Number 00154223; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM TSENTRREMONT, OOO",19641,,COMPANY,,"Website centrremont.gazprom.ru; Email Address I.Suvorova@gcr.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; Registration ID 1085050006766; Tax ID No. 5050073540; Government Gazette Number 86732184; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
"GAZPROM VNIIGAZ, OOO",19653,,COMPANY,,"Website www.vniigaz.ru; Email Address adm@vniigaz.gazprom.ru; Executive Order 13662 Directive Determination - Subject to Directive 4; Secondary sanctions risk: Ukraine-/Russia-Related Sanctions Regulations, 31 CFR 589.201 and/or 589.209; alt. Secondary sanctions risk: See Section 11 of Executive Order 14024.; Organization Established Date 30 Jun 1999; Registration ID 1025000651598; Tax ID No. 5003028155; Government Gazette Number 31323949; For more information on directives, please visit the following link: http://www.treasury.gov/resource-center/sanctions/Programs/Pages/ukraine.aspx#directives; a.k.a. 'LIMITED LIABILITY COMPANY SCIENTIFIC RESEARCH INSTITUTE OF NATURAL GASES AND GAS TECHNOLOGIES'; f.k.a. 'ALL UNION SCIENTIFIC RESEARCH INSTITUTE OF NATURAL GASES AND GAS TECHNOLOGIES'; a.k.a. 'VNIGAZ'; Linked To: PUBLIC JOINT STOCK COMPANY GAZPROM."
